img_size,filters,dropout,batch_size,lr,optimizer,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
256,16,0.2,16,0.001,adam,0.618693470954895,0.09501465142869966,0.767304265499115,0.04258975634336602,0.48457285165786745,0.11650683837746388,0.5906027437184269,0.12212616155216023
256,16,0.2,16,0.001,rmsprop,0.5676582992076874,0.07644339499917928,0.7076719641685486,0.05892584002759949,0.4474572896957397,0.06429738425886587,0.5369265597838728,0.09782146915990667
256,16,0.2,16,0.0005,adam,0.6324773848056793,0.09152602162522923,0.7181856155395507,0.07915965915534261,0.5404522597789765,0.08288191896994533,0.6121223663444649,0.09749612315080386
256,16,0.2,16,0.0005,rmsprop,0.6336532592773437,0.040123779505456966,0.793260931968689,0.04403997640335126,0.48452261090278625,0.053035089270134915,0.6144559432205631,0.043381342624648656
256,16,0.2,32,0.001,adam,0.5111909568309784,0.21534055553724973,0.5298008024692535,0.3187656857155616,0.40700000524520874,0.2360847333356464,0.47403507954684654,0.2501208415951345
256,16,0.2,32,0.001,rmsprop,0.3211005076766014,0.26498985040673007,0.3132086992263794,0.3836326948390445,0.22100000381469725,0.2726976401248965,0.26322280962809813,0.29309062805826896
256,16,0.2,32,0.0005,adam,0.35269849449396135,0.2752219455331203,0.3126789331436157,0.384341882501771,0.2295527696609497,0.2814606559057175,0.3081998442121591,0.31720019934577026
256,16,0.2,32,0.0005,rmsprop,0.26914070546627045,0.20106660749191435,0.26634437441825864,0.27984092094421,0.13309547789394854,0.21644579135390551,0.18447647933393366,0.2361814360241889
256,16,0.3,16,0.001,adam,0.6045628070831299,0.05296924106716655,0.7054384827613831,0.061309931150970616,0.5134271323680878,0.06805551659687373,0.5743594354759851,0.06372948645471357
256,16,0.3,16,0.001,rmsprop,0.603587931394577,0.12379908637799229,0.720530915260315,0.09942026992099451,0.438467338681221,0.18213212836475323,0.597930731165577,0.12704671784583532
256,16,0.3,16,0.0005,adam,0.6566834211349487,0.02467128708239353,0.7905031442642212,0.048250194763403885,0.5035125732421875,0.053237459999649885,0.6461641348724172,0.03781383258107377
256,16,0.3,16,0.0005,rmsprop,0.6255527615547181,0.03896546895113597,0.7391722798347473,0.0535791618111553,0.4974070191383362,0.08515730837512252,0.6146598039442052,0.04136897619648149
256,16,0.3,32,0.001,adam,0.24912562519311904,0.1963744022540203,0.13939393758773805,0.2787878751754761,0.09200000166893005,0.1840000033378601,0.1687289644941548,0.22008257694861286
256,16,0.3,32,0.001,rmsprop,0.1761658310890198,0.010510075113576874,0.07344444394111634,0.090238640177454,0.06999999880790711,0.08666025434363378,0.07981008190624322,0.017484497888315274
256,16,0.3,32,0.0005,adam,0.3221256390213966,0.23016639891570717,0.25834165811538695,0.31988479703404077,0.20299999713897704,0.24866845038066596,0.2649772510072942,0.27538723808987353
256,16,0.3,32,0.0005,rmsprop,0.534678390622139,0.2018096790447368,0.5794444561004639,0.2951817356505679,0.41052764654159546,0.20787609988066633,0.5059666285264857,0.2318467588870851
256,32,0.2,16,0.001,adam,0.47157790064811705,0.10924988203019868,0.5663926362991333,0.1507745589354591,0.3764623135328293,0.1205509231691036,0.42698301432844676,0.12938226301676103
256,32,0.2,16,0.001,rmsprop,0.463487446308136,0.07923634490974861,0.5287022709846496,0.1004218359721129,0.4204572856426239,0.07894838200909332,0.41764584113830916,0.08787186819286516
256,32,0.2,16,0.0005,adam,0.5916482448577881,0.08016041589237619,0.7459457397460938,0.08796545423025072,0.45852763652801515,0.0711183254840753,0.5555536612724843,0.09372136438905039
256,32,0.2,16,0.0005,rmsprop,0.5554371833801269,0.07794767395930148,0.6446800827980042,0.05838119369430134,0.46131156086921693,0.08520737446935114,0.5227412058658036,0.07811785220690588
256,32,0.2,32,0.001,adam,0.15013567954301835,0.028740271926679634,0.038787877559661864,0.07757575511932371,0.031999999284744264,0.06399999856948851,0.05263459606551931,0.02095345226629902
256,32,0.2,32,0.001,rmsprop,0.24567336738109588,0.21553231207610815,0.1887061059474945,0.2957879035974668,0.16063316762447358,0.2452687930428286,0.1768733212354714,0.23957697707233896
256,32,0.2,32,0.0005,adam,0.2641005009412766,0.24823592542217635,0.16385542154312133,0.32771084308624265,0.13600000143051147,0.27200000286102294,0.18861233302426264,0.28346303384548444
256,32,0.2,32,0.0005,rmsprop,0.37470352798700335,0.280597004820229,0.318762469291687,0.3910818870284163,0.2526381850242615,0.3094454375961699,0.3134277815110422,0.323695340652755
256,32,0.3,16,0.001,adam,0.5475778758525849,0.08602148402881901,0.6218479573726654,0.1221164588682297,0.4584120512008667,0.07236795635095526,0.5189236194073862,0.0987798239922015
256,32,0.3,16,0.001,rmsprop,0.4384623169898987,0.09872788892001991,0.5212093234062195,0.12909371559614927,0.36536180377006533,0.08835669578070948,0.3909291337962008,0.10985674540066874
256,32,0.3,16,0.0005,adam,0.5041457414627075,0.18981425934531726,0.5473945021629334,0.2824562085314597,0.3919999897480011,0.20963300702743504,0.4576026355133238,0.20868298872638616
256,32,0.3,16,0.0005,rmsprop,0.6116582870483398,0.037863743022805686,0.7553602695465088,0.09077083212155367,0.4895829200744629,0.04734395494856304,0.5860837154387356,0.04744291961356874
256,32,0.3,32,0.001,adam,0.3281457230448723,0.23390755374284966,0.267219090461731,0.32848053895619567,0.225,0.27560841779068485,0.2625250128457151,0.26326639926039447
256,32,0.3,32,0.001,rmsprop,0.2781859278678894,0.20162231316834098,0.21454635858535767,0.3107475008252217,0.15600000619888305,0.2308982569263202,0.19900235941767883,0.2265703403833282
256,32,0.3,32,0.0005,adam,0.3506030187010765,0.23365137103207653,0.43167980313301085,0.2828377714492217,0.26154773831367495,0.21495654000137157,0.2824143356551832,0.275644699721734
256,32,0.3,32,0.0005,rmsprop,0.38620100617408754,0.24754673928790466,0.31347185373306274,0.383966306488513,0.22200000286102295,0.28145337585970026,0.3213359389666334,0.29470711891966395
